Informações detalhadas sobre empréstimos de ativos que foram formalmente registrados.  Para todas as modalidades que a B3 publica no Boletim Diário a metodologia da taxa média de cada ativo divulgada no empréstimo é a média ponderada pela quantidade de negócios na data do pregão. Nos dias em que não houver negociação no ativo, a taxa divulgada será a última calculada disponível. Os detalhes sobre as regras utilizadas, bem como a definição de cada um dos campos, estão disponíveis no ;;;;;;;;;;;;;
Glossário;https://www.b3.com.br/data/files/32/02/C0/25/391EA810E9C1AAA8AC094EA8/Glossario%20_%20Emprestimos_Registrados.pdf;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;Taxa doador;;;Taxa tomador;;
Data;Código IF;Código ISIN;Empresa ou fundo;Mercado;Número de contratos;Quantidade de ativos;Valor em R$;Mínima;Média ponderada;Máxima;Mínima;Média ponderada;Máxima
30/06/2026;P1NW34;BRP1NWBDR003;PINNACLE WEST CAPITAL CORP;Registro;;0;0;10,00%;10,00%;10,00%;10,00%;10,00%;10,00%
30/06/2026;N1BI34;BRN1BIBDR009;NEUROCRINE BIOSCIENCES INC;Registro;;0;0;15,00%;15,00%;15,00%;15,00%;15,00%;15,00%
30/06/2026;A2SO34;BRA2SOBDR004;ACADEMY SPORTS & OUTDOORS INC;Registro;;0;0;7,00%;7,00%;7,00%;7,00%;7,00%;7,00%
30/06/2026;VISC11;BRVISCCTF005;VINCI SHOPPING CENTERS FII RESP LIM;Registro;9;3999;420014,97;0,47%;0,47%;0,47%;0,47%;0,47%;0,47%
30/06/2026;DEVA11;BRDEVACTF000;DEVANT RECEBÍVEIS IMOBILIÁRIOS FII RESP LIM;Registro;2;132;2327,16;3,14%;3,14%;3,14%;3,14%;3,14%;3,14%
30/06/2026;A1RG34;BRA1RGBDR004;ARGENX SE;Registro;;0;0;45,00%;45,00%;45,00%;45,00%;45,00%;45,00%
30/06/2026;SNCI11;BRSNCICTF002;SUNO RECEBÍVEIS IMOBILIÁRIOS FII RESP LIM;Registro;1;1;86,34;10,71%;10,71%;10,71%;10,71%;10,71%;10,71%
30/06/2026;N2ET34;BRN2ETBDR008;CLOUDFLARE INC;Registro;;0;0;34,38%;34,38%;34,38%;34,38%;34,38%;34,38%
30/06/2026;KORE11;BRKORECTF012;KINEA OPORTUNIDADES REAL ESTATE FII RESP LIM;Registro;3;4235;267355,55;0,14%;0,14%;0,14%;0,14%;0,14%;0,14%
30/06/2026;CEBR5;BRCEBRACNPA8;CIA ENERGETICA DE BRASILIA;Registro;;0;0;5,00%;5,00%;5,00%;5,00%;5,00%;5,00%
30/06/2026;IBIT39;BRIBITBDR003;ISHARES BITCOIN TRUST;Registro;1;20;1165,4;0,01%;0,01%;0,01%;0,01%;0,01%;0,01%
30/06/2026;RICO11;BRRICOCTF002;BUENA VISTA VIII FUNDO DE ÍNDICE;Registro;;0;0;5,00%;5,00%;5,00%;5,00%;5,00%;5,00%
30/06/2026;BITO39;BRBITOBDR001;ISHARES CORE S&P TOTAL US STOCK MARKET ETF;Registro;;0;0;5,00%;5,00%;5,00%;5,00%;5,00%;5,00%
30/06/2026;A2LC34;BRA2LCBDR004;ALCON INC;Registro;;0;0;10,00%;10,00%;10,00%;10,00%;10,00%;10,00%
30/06/2026;BIHE39;BRBIHEBDR007;ISHARES US PHARMACEUTICALS ETF;Registro;;0;0;5,00%;5,00%;5,00%;5,00%;5,00%;5,00%
30/06/2026;BEUW39;BRBEUWBDR001;ISHARES MSCI USA EQUAL WEIGHTED ETF;Registro;;0;0;5,00%;5,00%;5,00%;5,00%;5,00%;5,00%
30/06/2026;AXIA11;BRAXIAA01PC0;AXIA ENERGIA S.A.;Registro;;0;0;0,01%;0,01%;0,01%;0,01%;0,01%;0,01%
30/06/2026;EKTR4;BREKTRACNPR7;ELEKTRO REDES S.A.;Registro;;0;0;3,00%;3,00%;3,00%;3,00%;3,00%;3,00%
30/06/2026;PRNR3;BRPRNRACNOR4;PRINER SERVIÇOS INDUSTRIAIS S.A.;Registro;10;44289;786129,75;0,02%;0,02%;0,15%;0,02%;0,02%;0,15%
30/06/2026;W1MG34;BRW1MGBDR009;WARNER MUSIC GROUP CORPORATION;Registro;;0;0;12,00%;12,00%;12,00%;12,00%;12,00%;12,00%
30/06/2026;T1AM34;BRT1AMBDR007;ATLASSIAN CORPORATION PLC;Registro;;0;0;25,00%;25,00%;25,00%;25,00%;25,00%;25,00%
30/06/2026;VITT3;BRVITTACNOR4;VITTIA S.A.;Registro;3;17656;57382;0,55%;0,55%;0,55%;0,55%;0,55%;0,55%
30/06/2026;E2LS34;BRE2LSBDR006;EQUITY LIFESTYLE PROPERTIES INC;Registro;;0;0;12,00%;12,00%;12,00%;12,00%;12,00%;12,00%
30/06/2026;AJFI11;BRAJFICTF001;AJ MALLS FII RESP LIM;Registro;;0;0;0,47%;0,47%;0,47%;0,47%;0,47%;0,47%
30/06/2026;TMOS34;BRTMOSBDR007;THERMO FISHER SCIENTIFIC, INC.;Registro;;0;0;0,80%;0,80%;0,80%;0,80%;0,80%;0,80%
30/06/2026;TPRY34;BRTPRYBDR001;TAPESTRY INC;Registro;;0;0;10,00%;10,00%;10,00%;10,00%;10,00%;10,00%
